listing_id,make,model_year,mileage_km,city,condition_grade,photos_count,days_on_platform,listed_month,sale_price_sar
L00391,Mercedes,2008,396800,Jeddah,good,14,52,2025-08,53600
L00392,Hyundai,2022,76000,Riyadh,excellent,10,7,2025-09,45400
L00393,Nissan,2019,146700,Riyadh,excellent,13,19,2024-10,18000
L00394,Toyota,2016,189000,Jeddah,excellent,16,3,2024-05,23700
L00395,Hyundai,2019,141800,Riyadh,excellent,4,12,2025-05,26400
L00396,Hyundai,2008,358200,Riyadh,good,11,72,2025-09,16000
L00397,Nissan,2020,110700,Dammam,excellent,13,51,2025-01,27000
L00398,Mazda,2017,158700,Jeddah,excellent,18,10,2024-08,39300
L00399,Kia,2016,171900,Riyadh,good,6,43,2024-02,28300
L00400,Chevrolet,2021,128400,Riyadh,good,7,55,2025-10,35600
L00401,Mercedes,2008,341400,Jeddah,excellent,24,83,2025-10,20000
L00402,Nissan,2017,179000,Jeddah,excellent,16,73,2024-11,17800
L00403,Mercedes,2024,45100,Dammam,good,13,38,2025-02,160800
L00404,Toyota,2023,75100,Dammam,good,24,51,2025-04,42900
L00405,Nissan,2025,6100,Dammam,good,9,56,2024-04,55300
L00406,Ford,2012,270600,Makkah,excellent,22,14,2024-01,14900
L00407,Kia,2010,285200,Dammam,good,16,69,2024-12,11500
L00408,Ford,2011,279500,Makkah,excellent,9,63,2025-03,17900
L00409,Ford,2019,80900,Jeddah,good,17,2,2024-08,24500
L00410,Hyundai,2015,208000,Jeddah,excellent,6,30,2024-01,23800
L00411,Hyundai,2019,137400,Dammam,excellent,18,56,2024-09,37300
L00412,Ford,2018,140200,Dammam,good,17,43,2024-05,40400
L00413,Ford,2009,313700,Madinah,fair,5,26,2024-10,10600
L00414,Toyota,2012,269300,Riyadh,excellent,20,0,2025-01,22100
L00415,Nissan,2021,118200,Dammam,good,14,85,2025-09,55300
L00416,Nissan,2024,28900,Riyadh,excellent,14,26,2025-05,75900
L00417,Nissan,2009,316600,Makkah,good,24,53,2024-02,12600
L00418,Lexus,2009,308500,Riyadh,fair,7,74,2025-07,40000
L00419,Hyundai,2008,340500,Riyadh,good,20,63,2024-01,8000
L00420,Lexus,2025,29900,Riyadh,good,4,11,2025-09,148100
L00421,Toyota,2014,234000,Dammam,good,6,25,2025-08,13800
L00422,Kia,2018,155100,Makkah,good,19,62,2024-06,35800
L00423,BMW,2011,347500,Makkah,excellent,5,37,2024-02,33900
L00424,Toyota,2009,348700,Dammam,fair,11,5,2025-01,10200
L00425,BMW,2017,160700,Dammam,excellent,8,48,2024-04,94400
L00426,Toyota,2020,85100,Makkah,excellent,5,56,2024-09,29000
L00427,Kia,2013,258000,Madinah,fair,5,28,2025-06,16400
L00428,BMW,2025,35600,Riyadh,good,20,13,2025-03,177300
L00429,Toyota,2025,13400,Riyadh,excellent,12,47,2024-10,105900
L00430,Nissan,2018,116400,Dammam,good,21,65,2024-09,37100
L00431,Mazda,2010,312200,Madinah,good,8,7,2024-02,14100
L00432,BMW,2013,198300,Riyadh,good,11,36,2025-07,33400
L00433,Nissan,2022,87000,Makkah,fair,15,30,2025-10,51100
L00434,Kia,2013,266700,Madinah,good,17,21,2024-04,28700
L00435,Nissan,2019,146400,Jeddah,excellent,21,30,2024-03,37800
L00436,Toyota,2009,264200,Jeddah,excellent,6,17,2024-08,12300
L00437,Hyundai,2008,268600,Riyadh,good,20,11,2024-06,9400
L00438,Kia,2010,279800,Riyadh,excellent,7,28,2025-06,10100
L00439,Toyota,2021,92300,Jeddah,excellent,20,20,2024-05,34000
L00440,Toyota,2025,28400,Riyadh,good,7,77,2025-09,62600
L00441,Toyota,2012,260000,Jeddah,excellent,7,76,2025-04,11400
L00442,Lexus,2025,33200,Riyadh,good,11,61,2025-02,178800
L00443,Ford,2015,214900,Madinah,excellent,13,16,2025-03,25600
L00444,Nissan,2022,79200,Riyadh,good,12,20,2025-09,32700
L00445,Toyota,2021,105500,Riyadh,good,22,60,2024-10,29100
L00446,Toyota,2014,244400,Dammam,fair,18,23,2024-07,24600
L00447,BMW,2025,13600,Dammam,excellent,6,30,2024-05,137100
L00448,Toyota,2018,163800,Dammam,good,8,56,2024-02,26500
L00449,Lexus,2023,46000,Jeddah,fair,11,67,2025-07,145400
L00450,Toyota,2008,346700,Riyadh,excellent,22,79,2024-06,8000
L00451,BMW,2019,153100,Jeddah,excellent,14,56,2025-01,121800
L00452,Nissan,2011,282300,Riyadh,good,15,6,2024-03,39200
L00453,Nissan,2020,124600,Jeddah,excellent,17,34,2024-02,55800
L00454,Hyundai,2021,58300,Riyadh,good,9,41,2024-10,33600
L00455,Hyundai,2009,331500,Jeddah,fair,15,71,2024-10,9400
L00456,Ford,2025,25800,Jeddah,good,23,38,2024-03,71800
L00457,Nissan,2016,195800,Jeddah,excellent,11,27,2024-09,23000
L00458,Mercedes,2025,12400,Makkah,good,9,23,2025-01,186000
L00459,Mercedes,2008,358000,Jeddah,fair,22,48,2024-08,21700
L00460,BMW,2023,60500,Riyadh,fair,18,4,2024-07,189800
L00461,Kia,2010,300800,Riyadh,good,3,46,2024-08,15700
L00462,Nissan,2023,71800,Dammam,excellent,17,32,2025-02,69700
L00463,Kia,2008,319200,Riyadh,fair,24,28,2024-05,10400
L00464,Hyundai,2016,170400,Makkah,good,7,53,2024-06,36000
L00465,Mazda,2017,204900,Riyadh,good,3,29,2024-03,25200
L00466,Mazda,2008,351700,Dammam,good,13,61,2024-04,10200
L00467,Hyundai,2016,160500,Madinah,excellent,6,22,2024-10,20600
L00468,Toyota,2015,260100,Riyadh,fair,22,86,2025-02,37800
L00469,Kia,2012,255800,Dammam,good,5,51,2024-06,23300
L00470,Lexus,2017,138400,Riyadh,fair,10,19,2024-10,109200
L00471,Chevrolet,2021,100400,Dammam,good,5,72,2025-02,30700
L00472,Hyundai,2019,107400,Riyadh,fair,12,57,2025-03,65600
L00473,Toyota,2009,294500,Makkah,excellent,19,57,2024-03,13900
L00474,Lexus,2008,360400,Riyadh,good,21,81,2025-02,25400
L00475,Toyota,2020,83900,Makkah,good,21,30,2025-06,38300
L00476,Mazda,2021,123900,Riyadh,good,18,68,2025-08,41900
L00477,Toyota,2018,139800,Dammam,good,21,11,2025-09,35000
L00478,Nissan,2008,345600,Dammam,good,17,28,2024-07,8000
L00479,Hyundai,2021,108700,Makkah,excellent,24,57,2024-09,60100
L00480,Mazda,2017,164900,Riyadh,excellent,23,52,2025-08,20400
L00481,Hyundai,2013,226300,Jeddah,fair,16,4,2025-01,19900
L00482,Ford,2008,391200,Jeddah,excellent,24,12,2024-07,12800
L00483,Nissan,2016,170300,Jeddah,fair,10,30,2024-01,22800
L00484,Toyota,2009,338500,Makkah,good,3,74,2024-08,10100
L00485,Lexus,2009,286800,Dammam,excellent,13,36,2025-01,23400
L00486,Toyota,2011,273700,Dammam,good,6,46,2025-04,8000
L00487,Toyota,2018,137700,Dammam,good,23,29,2025-10,29300
L00488,Toyota,2008,346900,Riyadh,good,6,11,2025-06,11500
L00489,Ford,2022,74100,Riyadh,good,4,18,2024-06,83600
L00490,Ford,2021,67100,Jeddah,good,17,30,2024-05,55400
L00491,BMW,2015,223700,Dammam,good,14,45,2025-10,43600
L00492,Chevrolet,2019,124400,Makkah,fair,5,64,2025-01,43400
L00493,Nissan,2011,334300,Makkah,excellent,22,8,2025-04,16000
L00494,Ford,2012,280000,Riyadh,good,9,22,2024-06,13800
L00495,Lexus,2012,314600,Jeddah,excellent,6,32,2024-03,24400
L00496,Nissan,2020,62300,Riyadh,good,12,68,2025-02,33200
L00497,Hyundai,2014,251800,Madinah,good,16,67,2024-01,24400
L00498,Chevrolet,2015,225900,Jeddah,excellent,11,62,2024-02,29000
L00499,Kia,2012,262400,Makkah,excellent,9,37,2024-08,11100
L00500,Hyundai,2010,270400,Dammam,fair,18,35,2024-01,14000
L00501,Mazda,2010,319300,Riyadh,good,19,30,2025-09,15000
L00502,BMW,2017,170100,Jeddah,good,8,74,2024-11,78300
L00503,Hyundai,2025,16600,Riyadh,excellent,8,6,2024-04,66000
L00504,Ford,2024,13300,Riyadh,good,23,31,2024-06,80000
L00505,Toyota,2010,328600,Makkah,fair,7,10,2025-10,10600
L00506,Toyota,2018,141900,Riyadh,good,18,64,2025-09,23600
L00507,Toyota,2020,79200,Riyadh,good,4,44,2024-02,23100
L00508,Hyundai,2014,207600,Dammam,excellent,13,36,2024-08,19800
L00509,Hyundai,2021,66000,Madinah,excellent,18,45,2024-11,54500
L00510,Mercedes,2021,95700,Riyadh,fair,7,79,2024-09,109700
L00511,Chevrolet,2018,212200,Jeddah,good,24,38,2024-12,46400
L00512,Toyota,2021,80100,Makkah,fair,3,31,2024-05,29400
L00513,BMW,2017,188300,Dammam,fair,18,86,2025-05,51200
L00514,Nissan,2013,242400,Riyadh,good,15,36,2024-12,20600
L00515,Hyundai,2021,86100,Makkah,fair,16,15,2024-01,36400
L00516,Lexus,2014,240600,Jeddah,good,13,10,2024-02,76400
L00517,Kia,2015,180400,Jeddah,good,15,41,2024-04,17200
L00518,Toyota,2010,255500,Riyadh,excellent,4,56,2024-06,33300
L00519,Ford,2018,183500,Dammam,good,16,17,2024-06,68400
L00520,Nissan,2024,36300,Jeddah,good,9,24,2024-02,65900
L00521,Ford,2023,54100,Madinah,excellent,15,54,2025-05,76200
L00522,Chevrolet,2015,205800,Jeddah,fair,19,29,2024-01,20700
L00523,Toyota,2024,41900,Dammam,good,13,62,2024-03,75200
L00524,Chevrolet,2017,191100,Riyadh,good,15,25,2025-04,35400
L00525,Toyota,2019,142700,Madinah,good,24,10,2025-02,23000
L00526,Mercedes,2023,83300,Riyadh,excellent,6,85,2024-06,165000
L00527,Chevrolet,2023,39100,Jeddah,good,17,48,2025-10,52500
L00528,Toyota,2018,161700,Makkah,good,12,2,2024-01,28200
L00529,Toyota,2014,209500,Riyadh,fair,20,4,2024-07,24300
L00530,Toyota,2016,199900,Jeddah,good,12,18,2025-02,27600
L00531,Ford,2024,11000,Jeddah,excellent,14,5,2024-09,54800
L00532,Chevrolet,2022,85600,Dammam,fair,7,56,2024-09,29300
L00533,Hyundai,2021,89500,Riyadh,good,23,41,2025-09,52400
L00534,Toyota,2017,125000,Madinah,good,18,65,2024-06,22300
L00535,Lexus,2018,158700,Dammam,fair,21,73,2025-05,115900
L00536,Nissan,2010,284500,Jeddah,good,10,70,2025-07,9900
L00537,Lexus,2024,28800,Jeddah,excellent,9,73,2024-10,184800
L00538,Toyota,2025,28600,Riyadh,good,17,50,2024-02,117300
L00539,Ford,2014,259300,Jeddah,fair,18,38,2024-11,25000
L00540,Hyundai,2017,134000,Riyadh,excellent,19,51,2024-02,25600
L00541,Kia,2022,86200,Riyadh,good,3,8,2025-10,47000
L00542,Ford,2009,370700,Riyadh,good,10,52,2025-08,13900
L00543,Kia,2010,264000,Riyadh,good,21,64,2025-07,17300
L00544,Nissan,2015,173700,Dammam,excellent,19,55,2025-04,18400
L00545,Ford,2020,114700,Riyadh,good,21,10,2024-03,34700
L00546,Mazda,2015,205500,Riyadh,excellent,24,81,2025-08,21200
L00547,Ford,2015,236000,Jeddah,excellent,19,85,2024-03,22800
L00548,Chevrolet,2010,354900,Riyadh,excellent,9,62,2025-09,14500
L00549,Kia,2011,307400,Riyadh,good,5,6,2024-06,12500
L00550,Nissan,2024,23000,Dammam,good,23,41,2025-05,35000
L00551,Nissan,2016,210900,Riyadh,good,19,81,2024-07,28400
L00552,Toyota,2009,279800,Jeddah,good,11,40,2024-05,9700
L00553,Hyundai,2012,177200,Riyadh,fair,18,67,2024-09,15600
L00554,Toyota,2016,194700,Riyadh,fair,6,61,2025-09,29100
L00555,Ford,2021,113900,Jeddah,excellent,4,11,2024-05,55000
L00556,Nissan,2023,58800,Dammam,excellent,8,10,2024-08,65300
L00557,Hyundai,2023,48000,Jeddah,good,21,6,2024-04,70700
L00558,Chevrolet,2021,114200,Jeddah,excellent,4,21,2024-08,45100
L00559,Hyundai,2022,83500,Riyadh,good,7,75,2024-03,67300
L00560,Mazda,2011,250300,Dammam,fair,15,52,2024-12,10600
L00561,Toyota,2016,211800,Riyadh,good,19,21,2024-09,41900
L00562,Toyota,2020,130300,Riyadh,fair,14,76,2024-12,44800
L00563,Hyundai,2021,119600,Dammam,good,19,12,2024-12,51800
L00564,Kia,2017,177600,Dammam,fair,10,16,2025-03,42200
L00565,Lexus,2016,209500,Dammam,fair,18,67,2024-02,79600
L00566,Chevrolet,2016,217400,Dammam,excellent,13,62,2025-02,32700
L00567,Nissan,2011,281700,Makkah,good,5,40,2025-10,9900
L00568,Toyota,2008,314600,Riyadh,good,24,0,2025-01,10200
L00569,Toyota,2010,287100,Riyadh,fair,14,57,2025-07,10200
L00570,Kia,2015,169700,Jeddah,excellent,3,64,2025-08,27300
L00571,Kia,2024,27700,Riyadh,excellent,4,79,2024-05,46100
L00572,Hyundai,2015,244700,Jeddah,good,3,73,2024-06,27600
L00573,Toyota,2022,71100,Riyadh,good,3,48,2024-05,31800
L00574,Toyota,2021,87500,Riyadh,fair,12,65,2024-08,61000
L00575,Mazda,2017,163500,Jeddah,good,16,5,2024-03,14100
L00576,Chevrolet,2021,106900,Jeddah,fair,20,39,2024-12,35600
L00577,Toyota,2016,153900,Riyadh,good,11,20,2024-09,26800
L00578,Toyota,2025,10400,Dammam,fair,24,30,2024-01,53600
L00579,Ford,2014,226500,Makkah,fair,13,22,2024-06,21700
L00580,Toyota,2008,365600,Dammam,excellent,14,58,2025-04,14600
L00581,Nissan,2019,75200,Riyadh,good,12,34,2025-05,20400
L00582,Ford,2008,318600,Jeddah,good,7,37,2025-07,10500
L00583,Ford,2012,257300,Riyadh,excellent,4,44,2025-06,13500
L00584,Chevrolet,2016,211000,Riyadh,fair,22,75,2024-10,21700
L00585,Toyota,2017,147600,Riyadh,excellent,13,21,2024-10,36900
L00586,Toyota,2011,291800,Jeddah,fair,17,12,2025-04,16000
L00587,Toyota,2025,30200,Dammam,good,12,27,2024-01,63400
L00588,Toyota,2010,338500,Riyadh,excellent,23,60,2025-04,10200
L00589,Nissan,2009,373800,Riyadh,fair,3,68,2024-08,12100
L00590,Hyundai,2011,285400,Dammam,good,23,20,2025-09,19200
L00591,Toyota,2015,216100,Dammam,good,4,44,2024-04,15300
L00592,Toyota,2018,197700,Makkah,excellent,21,78,2024-09,28200
L00593,Nissan,2023,61200,Dammam,good,17,31,2025-10,48200
L00594,Toyota,2025,30700,Jeddah,good,16,72,2025-07,54300
L00595,Ford,2012,252300,Jeddah,good,7,87,2024-04,8000
L00596,Hyundai,2017,183000,Jeddah,good,6,2,2024-04,29300
L00597,Toyota,2013,251100,Riyadh,excellent,18,86,2025-04,15600
L00598,Lexus,2016,193200,Jeddah,fair,19,45,2024-08,72200
L00599,Ford,2008,350100,Jeddah,fair,19,22,2025-01,8000
L00600,Mazda,2024,49100,Jeddah,good,13,79,2025-01,71300
L00601,Hyundai,2013,211700,Riyadh,good,4,50,2025-01,16600
L00602,Chevrolet,2011,276100,Riyadh,fair,9,15,2025-04,15300
L00603,Toyota,2013,228900,Riyadh,excellent,12,28,2024-07,24700
L00604,Hyundai,2009,309300,Jeddah,fair,6,76,2025-10,11000
L00605,Mercedes,2008,303000,Riyadh,good,15,53,2025-06,40600
L00606,Nissan,2019,134500,Jeddah,excellent,12,88,2025-05,33700
L00607,Lexus,2015,255200,Jeddah,good,9,75,2024-04,41600
L00608,Ford,2015,162400,Jeddah,good,12,54,2024-04,23400
L00609,BMW,2019,128700,Dammam,good,4,60,2025-09,106900
L00610,Ford,2020,101600,Makkah,excellent,5,21,2024-10,38100
L00611,Ford,2021,77100,Jeddah,good,11,87,2025-02,55900
L00612,Toyota,2009,405700,Riyadh,good,14,86,2024-10,8000
L00613,Ford,2018,134800,Jeddah,good,18,41,2024-01,31900
L00614,Kia,2021,46300,Dammam,excellent,17,47,2024-05,47100
L00615,Nissan,2015,187300,Riyadh,excellent,9,66,2024-12,15300
L00616,Nissan,2024,44700,Jeddah,fair,8,81,2024-05,60200
L00617,BMW,2025,11500,Madinah,excellent,12,82,2024-07,217200
L00618,Toyota,2024,21100,Makkah,good,18,54,2024-05,43300
L00619,Hyundai,2008,393000,Jeddah,excellent,4,53,2024-05,8000
L00620,Chevrolet,2013,221900,Riyadh,fair,24,9,2024-11,40700
L00621,Mercedes,2022,52400,Riyadh,good,16,86,2024-10,86600
L00622,Nissan,2025,17600,Jeddah,fair,21,37,2025-07,58600
L00623,Lexus,2013,211800,Jeddah,fair,21,13,2025-03,68600
L00624,Hyundai,2011,299100,Dammam,good,15,65,2024-06,15200
L00625,Ford,2014,270000,Makkah,good,12,51,2025-09,22300
L00626,Ford,2010,334200,Dammam,good,15,65,2025-10,14400
L00627,Mercedes,2017,162000,Riyadh,good,18,43,2025-02,58900
L00628,Hyundai,2019,144700,Riyadh,excellent,22,81,2025-02,27400
L00629,Mercedes,2009,256700,Madinah,excellent,15,23,2025-03,22800
L00630,Toyota,2013,274600,Makkah,excellent,11,31,2024-01,14200
L00631,Toyota,2012,237400,Jeddah,excellent,22,30,2025-09,10200
L00632,Hyundai,2009,259200,Riyadh,excellent,7,45,2024-12,8000
L00633,Toyota,2020,120900,Dammam,good,11,53,2025-09,49300
L00634,Hyundai,2024,32000,Riyadh,excellent,4,45,2024-12,46800
L00635,Chevrolet,2013,246000,Riyadh,fair,13,22,2024-11,25200
L00636,Mercedes,2022,82400,Riyadh,fair,23,55,2024-06,119200
L00637,Chevrolet,2010,237000,Madinah,good,19,69,2024-12,21600
L00638,Ford,2011,274000,Riyadh,excellent,24,2,2025-07,10800
L00639,Ford,2019,132900,Makkah,good,7,25,2024-03,30300
L00640,Toyota,2017,163700,Madinah,good,14,10,2024-03,17400
L00641,Toyota,2011,257400,Riyadh,good,22,88,2025-08,17500
L00642,Toyota,2008,334000,Jeddah,good,7,39,2024-10,8000
L00643,Hyundai,2018,136200,Jeddah,excellent,14,6,2025-09,46900
L00644,Nissan,2018,160600,Riyadh,excellent,7,14,2024-11,41300
L00645,Toyota,2023,50800,Jeddah,fair,15,48,2024-07,68500
L00646,Nissan,2021,74300,Riyadh,good,16,20,2025-02,46500
L00647,Toyota,2020,106700,Dammam,fair,15,40,2025-02,58100
L00648,Toyota,2014,242600,Makkah,good,22,80,2024-02,15300
L00649,Mercedes,2013,220800,Makkah,excellent,16,52,2025-02,33300
L00650,Hyundai,2015,199700,Madinah,excellent,24,51,2024-05,22400
L00651,Kia,2010,289100,Jeddah,excellent,18,64,2025-02,24300
L00652,Mazda,2020,110700,Riyadh,excellent,16,24,2025-01,45700
L00653,Toyota,2023,79300,Riyadh,excellent,11,52,2025-07,59200
L00654,Lexus,2021,100400,Riyadh,good,15,82,2024-08,114000
L00655,Hyundai,2023,44100,Riyadh,excellent,3,0,2025-05,60300
L00656,Hyundai,2019,109300,Riyadh,good,10,87,2024-02,32600
L00657,BMW,2010,302500,Riyadh,excellent,8,25,2024-06,28100
L00658,Toyota,2018,153800,Riyadh,fair,6,68,2024-02,30500
L00659,Toyota,2018,183500,Madinah,fair,8,75,2024-09,35900
L00660,Toyota,2018,165500,Riyadh,excellent,7,82,2024-04,34200
L00661,Chevrolet,2022,72700,Makkah,good,24,45,2024-05,48200
L00662,Ford,2018,149600,Madinah,good,17,7,2025-04,16200
L00663,Lexus,2020,112200,Dammam,excellent,13,39,2025-06,66100
L00664,BMW,2018,200100,Jeddah,good,10,26,2024-10,93700
L00665,Hyundai,2025,13600,Madinah,excellent,10,48,2024-05,72200
L00666,Nissan,2015,176100,Riyadh,good,13,30,2025-08,11800
L00667,Toyota,2020,121100,Jeddah,good,16,19,2024-01,51000
L00668,Hyundai,2009,304200,Riyadh,excellent,23,21,2024-01,10800
L00669,Toyota,2013,218900,Jeddah,excellent,20,80,2025-09,25300
L00670,BMW,2023,83200,Makkah,excellent,18,7,2024-05,142300
L00671,Nissan,2020,96000,Makkah,fair,3,81,2025-01,54500
L00672,Chevrolet,2017,168400,Jeddah,good,6,48,2025-01,26800
L00673,Nissan,2025,12000,Madinah,excellent,5,39,2025-07,53400
L00674,Nissan,2019,137400,Riyadh,fair,3,44,2025-03,45900
L00675,Toyota,2013,348500,Riyadh,fair,19,44,2025-04,8000
L00676,Mazda,2025,12200,Riyadh,good,14,51,2024-08,103600
L00677,Toyota,2008,352800,Dammam,fair,19,73,2025-01,8000
L00678,Hyundai,2017,138300,Jeddah,fair,6,37,2024-01,22500
L00679,Hyundai,2024,50800,Jeddah,good,15,17,2024-05,52100
L00680,Mercedes,2025,7200,Riyadh,excellent,23,55,2024-07,308800
L00681,Lexus,2019,142400,Dammam,excellent,13,83,2025-10,67400
L00682,Mazda,2022,79000,Riyadh,good,9,67,2025-10,40000
L00683,Hyundai,2009,351100,Riyadh,fair,21,45,2024-09,18600
L00684,Ford,2017,153800,Dammam,good,7,17,2024-04,40200
L00685,Kia,2017,154900,Riyadh,good,17,28,2025-06,53000
L00686,BMW,2014,234900,Riyadh,fair,12,56,2024-12,49400
L00687,Nissan,2015,234600,Riyadh,good,20,51,2024-06,13000
L00688,Hyundai,2009,365100,Riyadh,good,22,79,2024-06,13200
L00689,Kia,2024,36800,Riyadh,fair,5,79,2024-10,71500
L00690,Hyundai,2023,84600,Makkah,fair,19,11,2025-04,57800
L00691,BMW,2025,28300,Dammam,good,17,44,2024-08,173400
L00692,Chevrolet,2008,321700,Jeddah,good,16,69,2025-01,9300
L00693,BMW,2012,235300,Jeddah,good,23,50,2024-11,42900
L00694,Mazda,2022,49400,Makkah,good,8,35,2025-09,55200
L00695,Lexus,2017,168600,Dammam,good,8,24,2024-05,135000
L00696,Toyota,2016,167300,Dammam,excellent,18,57,2025-08,20800
L00697,Hyundai,2011,203200,Jeddah,excellent,18,52,2025-08,15100
L00698,Mercedes,2012,291300,Dammam,good,14,0,2025-02,36600
L00699,Lexus,2025,1600,Dammam,excellent,16,5,2025-02,278200
L00700,Toyota,2011,261200,Jeddah,excellent,16,23,2025-06,24400
L00701,Ford,2022,77900,Riyadh,excellent,4,15,2025-05,37800
L00702,BMW,2014,212800,Riyadh,excellent,11,12,2025-04,30000
L00703,Hyundai,2009,287400,Riyadh,excellent,5,54,2025-10,10600
L00704,Mazda,2022,58200,Jeddah,excellent,8,40,2025-05,73700
L00705,Toyota,2008,346000,Riyadh,fair,16,6,2025-05,8000
L00706,Hyundai,2018,143500,Dammam,excellent,3,31,2024-03,35100
L00707,Toyota,2012,205100,Makkah,fair,17,18,2025-09,19500
L00708,Mercedes,2019,114500,Dammam,good,22,43,2025-08,72300
L00709,Toyota,2014,230400,Riyadh,excellent,11,56,2025-03,12900
L00710,Toyota,2012,217500,Dammam,excellent,23,26,2024-02,17100
L00711,Kia,2022,99700,Riyadh,excellent,14,77,2025-04,62200
L00712,Toyota,2016,187100,Dammam,good,11,15,2025-01,25800
L00713,BMW,2008,327600,Makkah,good,19,73,2025-09,18200
L00714,Nissan,2010,297900,Makkah,excellent,7,70,2024-12,8000
L00715,Lexus,2019,118300,Jeddah,excellent,22,49,2024-01,95600
L00716,Hyundai,2010,233800,Makkah,fair,20,45,2024-06,17300
L00717,Mercedes,2014,243600,Riyadh,good,19,9,2024-12,47100
L00718,Hyundai,2012,276500,Dammam,fair,3,49,2024-08,16000
L00719,Toyota,2012,208600,Jeddah,good,8,55,2024-07,18100
L00720,Kia,2020,59900,Makkah,excellent,4,21,2025-10,38800
L00721,Toyota,2023,53600,Jeddah,good,12,0,2025-01,54100
L00722,Ford,2019,152500,Jeddah,fair,3,0,2025-10,36400
L00723,Toyota,2013,251500,Riyadh,excellent,10,31,2025-10,11800
L00724,Hyundai,2014,171000,Jeddah,fair,24,59,2024-01,12800
L00725,Toyota,2023,80700,Madinah,good,17,4,2024-08,82800
L00726,BMW,2015,217400,Jeddah,excellent,7,76,2024-02,74400
L00727,Chevrolet,2023,46000,Riyadh,good,5,51,2024-09,50900
L00728,Toyota,2025,14800,Riyadh,good,10,22,2024-02,97400
L00729,Hyundai,2024,35700,Riyadh,good,12,83,2024-09,56000
L00730,Ford,2015,251200,Dammam,good,3,36,2025-08,20400
L00731,Kia,2015,248500,Riyadh,good,23,73,2025-10,17600
L00732,Hyundai,2022,73400,Jeddah,good,15,18,2024-02,45600
L00733,BMW,2017,145900,Riyadh,excellent,11,17,2024-07,58800
L00734,Mercedes,2012,301100,Dammam,good,16,50,2025-04,43500
L00735,Toyota,2023,59300,Jeddah,good,13,40,2024-08,38600
L00736,Toyota,2018,163100,Riyadh,fair,20,47,2024-09,32600
L00737,Nissan,2012,303700,Riyadh,good,23,76,2024-12,14600
L00738,Kia,2010,303100,Riyadh,good,8,74,2024-06,15400
L00739,Toyota,2009,323800,Dammam,excellent,11,36,2025-01,8000
L00740,Toyota,2025,20200,Riyadh,good,12,73,2024-07,78600
L00741,Toyota,2008,281900,Jeddah,good,11,22,2024-12,8000
L00742,Chevrolet,2014,197900,Riyadh,excellent,24,13,2024-05,13300
L00743,Kia,2023,58000,Makkah,good,8,88,2025-06,61600
L00744,Hyundai,2011,289700,Makkah,good,4,9,2025-08,16500
L00745,Toyota,2015,201200,Riyadh,excellent,19,57,2025-05,14200
L00746,Toyota,2017,166300,Dammam,good,5,37,2025-07,22000
L00747,Ford,2018,160100,Riyadh,good,5,2,2024-06,24800
L00748,Ford,2011,320500,Riyadh,good,5,34,2025-01,14800
L00749,Kia,2022,83500,Dammam,excellent,11,28,2025-07,50400
L00750,Toyota,2025,10500,Riyadh,fair,7,10,2024-12,89600
L00751,Toyota,2009,300500,Jeddah,fair,5,84,2024-02,11400
L00752,Hyundai,2018,136600,Riyadh,excellent,16,67,2025-05,15600
L00753,Kia,2011,228700,Riyadh,excellent,15,32,2024-02,8000
L00754,Hyundai,2014,214000,Riyadh,fair,13,46,2024-04,12400
L00755,Nissan,2016,216800,Madinah,good,21,41,2024-02,19400
L00756,Kia,2019,138400,Madinah,good,20,88,2024-09,37600
L00757,BMW,2012,253300,Dammam,fair,16,64,2024-06,54800
L00758,Nissan,2013,270800,Makkah,excellent,12,14,2025-09,19900
L00759,Lexus,2016,206600,Riyadh,good,14,10,2024-06,95100
L00760,Mercedes,2020,87500,Dammam,good,7,71,2025-02,125700
L00761,Mercedes,2016,200800,Riyadh,good,24,80,2024-02,55000
L00762,Mercedes,2025,16000,Riyadh,fair,3,7,2025-09,196800
L00763,Kia,2008,380100,Jeddah,excellent,6,31,2025-09,8000
L00764,Toyota,2019,136500,Jeddah,good,23,75,2025-04,27900
L00765,Nissan,2011,290100,Riyadh,good,17,2,2025-06,20300
L00766,Toyota,2015,214500,Riyadh,excellent,7,65,2025-09,23700
L00767,Nissan,2009,294300,Jeddah,fair,18,67,2025-05,12800
L00768,Hyundai,2020,136200,Dammam,excellent,14,72,2025-03,34200
L00769,Toyota,2022,101000,Jeddah,good,12,18,2024-11,64000
L00770,Kia,2008,350700,Dammam,excellent,3,49,2025-10,9700
L00771,Chevrolet,2008,337900,Riyadh,good,17,54,2024-10,8300
L00772,Hyundai,2025,35500,Riyadh,fair,14,48,2024-04,120200
L00773,Toyota,2008,287300,Riyadh,fair,5,2,2024-06,12300
L00774,Kia,2019,181300,Jeddah,excellent,11,9,2025-08,61200
L00775,Kia,2024,48700,Riyadh,good,23,33,2024-03,66800
L00776,Toyota,2014,178800,Riyadh,good,8,67,2024-03,17200
L00777,Nissan,2012,240800,Dammam,excellent,15,37,2025-10,10800
L00778,Mercedes,2024,24500,Makkah,excellent,19,2,2025-02,135400
L00779,BMW,2012,219100,Madinah,excellent,20,15,2025-09,63200
L00780,Ford,2021,79200,Riyadh,good,10,15,2025-06,45100
L00781,Nissan,2018,137500,Riyadh,good,3,87,2024-05,21900
