request_id,district,category,hour_of_day,day_of_week,month,is_ramadan,resolution_hours
R002064,district_10,lighting,22,Sun,8,0,11.4
R002065,district_10,waste,5,Fri,3,0,10.7
R002066,district_16,road_damage,11,Sun,10,0,50.6
R002067,district_24,waste,16,Wed,3,0,96.9
R002068,district_17,waste,19,Sun,3,0,75.3
R002069,district_19,road_damage,3,Sun,9,0,56.6
R002070,district_11,road_damage,12,Sat,11,0,26.8
R002071,district_05,lighting,6,Tue,9,0,110.9
R002072,district_15,waste,23,Tue,4,0,37.7
R002073,district_03,waste,17,Sat,12,0,196.0
R002074,district_12,road_damage,21,Tue,10,0,23.6
R002075,district_13,waste,19,Wed,7,0,58.5
R002076,district_06,road_damage,6,Sun,12,0,31.6
R002077,district_18,encroachment,2,Fri,7,0,17.9
R002078,district_12,waste,6,Sat,11,0,60.9
R002079,district_09,waste,18,Thu,9,0,63.9
R002080,district_15,waste,13,Mon,1,0,109.5
R002081,district_12,waste,17,Sun,11,0,97.2
R002082,district_15,waste,5,Tue,9,0,101.5
R002083,district_19,road_damage,0,Sat,11,0,97.4
R002084,district_05,flooding,22,Tue,2,1,95.1
R002085,district_01,road_damage,14,Sat,7,0,83.5
R002086,district_19,road_damage,18,Fri,8,0,43.1
R002087,district_14,road_damage,20,Thu,10,0,13.4
R002088,district_20,flooding,15,Sat,2,0,96.6
R002089,district_22,road_damage,9,Sun,5,1,79.1
R002090,district_03,lighting,7,Mon,12,0,74.6
R002091,district_17,waste,2,Fri,11,0,17.3
R002092,district_22,flooding,12,Sat,10,0,47.7
R002093,district_05,road_damage,7,Thu,11,1,107.4
R002094,district_02,lighting,14,Mon,2,0,140.3
R002095,district_07,encroachment,16,Thu,11,0,61.8
R002096,district_19,waste,20,Thu,4,0,90.7
R002097,district_12,encroachment,19,Wed,3,0,96.2
R002098,district_06,waste,22,Sat,4,0,20.7
R002099,district_07,flooding,9,Sun,2,0,67.4
R002100,district_23,lighting,20,Fri,3,0,5.6
R002101,district_13,waste,9,Mon,11,0,30.4
R002102,district_20,waste,13,Wed,8,0,44.9
R002103,district_08,flooding,17,Tue,10,0,14.5
R002104,district_24,lighting,2,Wed,7,0,124.1
R002105,district_01,road_damage,19,Thu,1,0,20.3
R002106,district_10,flooding,23,Sun,12,1,18.3
R002107,district_07,road_damage,14,Sat,9,0,58.0
R002108,district_16,road_damage,16,Sat,10,0,187.1
R002109,district_01,encroachment,1,Sun,12,0,91.4
R002110,district_02,flooding,14,Thu,9,0,40.4
R002111,district_14,waste,18,Wed,12,0,76.8
R002112,district_04,flooding,21,Mon,1,0,76.0
R002113,district_04,waste,7,Sun,4,0,70.4
R002114,district_01,encroachment,10,Thu,7,0,28.0
R002115,district_10,waste,3,Thu,6,0,62.8
R002116,district_11,flooding,10,Sat,6,0,67.3
R002117,district_20,encroachment,19,Thu,7,0,86.3
R002118,district_18,road_damage,23,Tue,3,0,152.5
R002119,district_17,waste,1,Mon,7,0,255.6
R002120,district_10,encroachment,14,Thu,8,0,26.9
R002121,district_22,waste,3,Fri,3,0,85.0
R002122,district_22,waste,8,Fri,3,0,43.9
R002123,district_01,road_damage,15,Mon,2,0,54.9
R002124,district_21,waste,0,Wed,1,0,10.9
R002125,district_22,lighting,23,Wed,4,0,36.9
R002126,district_21,road_damage,2,Fri,10,0,18.4
R002127,district_03,road_damage,18,Thu,8,0,34.2
R002128,district_17,road_damage,21,Sun,9,1,15.3
R002129,district_12,lighting,8,Fri,2,0,68.8
R002130,district_17,waste,5,Thu,7,0,24.0
R002131,district_02,flooding,1,Fri,4,0,29.0
R002132,district_07,road_damage,8,Thu,4,0,109.3
R002133,district_23,flooding,20,Sun,11,0,64.4
R002134,district_22,road_damage,13,Thu,12,0,33.3
R002135,district_05,road_damage,1,Thu,5,0,15.5
R002136,district_04,road_damage,9,Sat,7,0,64.9
R002137,district_04,waste,5,Sun,2,0,47.6
R002138,district_11,waste,15,Sun,1,0,135.9
R002139,district_03,lighting,6,Thu,4,0,45.0
R002140,district_22,waste,12,Fri,12,0,76.5
R002141,district_04,waste,8,Tue,7,0,139.3
R002142,district_05,lighting,14,Mon,7,0,31.4
R002143,district_14,encroachment,4,Sat,2,1,51.4
R002144,district_02,road_damage,23,Wed,10,0,86.6
R002145,district_14,encroachment,17,Mon,8,0,49.4
R002146,district_16,lighting,2,Sun,9,0,67.7
R002147,district_16,road_damage,2,Thu,7,0,148.3
R002148,district_10,flooding,14,Sat,8,0,40.8
R002149,district_16,flooding,15,Tue,10,0,18.1
R002150,district_18,road_damage,13,Mon,10,0,6.8
R002151,district_22,lighting,12,Thu,4,0,42.6
R002152,district_10,encroachment,14,Wed,5,0,18.7
R002153,district_16,road_damage,6,Sat,8,0,40.9
R002154,district_13,road_damage,2,Sun,8,1,48.4
R002155,district_22,lighting,7,Wed,2,0,56.5
R002156,district_08,flooding,6,Thu,5,0,191.4
R002157,district_10,waste,2,Wed,10,1,83.7
R002158,district_18,waste,19,Wed,5,1,7.2
R002159,district_06,road_damage,19,Wed,1,0,23.5
R002160,district_01,flooding,7,Tue,7,0,28.0
R002161,district_01,road_damage,20,Tue,5,0,30.9
R002162,district_11,road_damage,11,Mon,4,0,72.1
R002163,district_13,lighting,8,Wed,12,0,81.4
R002164,district_10,lighting,2,Thu,7,0,23.6
R002165,district_21,lighting,21,Thu,11,0,28.6
R002166,district_18,waste,10,Mon,3,0,158.6
R002167,district_21,waste,17,Sat,7,0,60.8
R002168,district_15,lighting,9,Wed,11,0,40.7
R002169,district_17,encroachment,7,Thu,11,0,94.7
R002170,district_05,road_damage,23,Sun,7,0,53.2
R002171,district_14,road_damage,2,Sat,5,1,38.1
R002172,district_16,encroachment,21,Wed,5,0,105.8
R002173,district_19,road_damage,23,Wed,1,0,70.4
R002174,district_17,lighting,15,Tue,9,0,36.3
R002175,district_15,waste,21,Thu,12,0,8.2
R002176,district_01,waste,10,Wed,2,0,64.6
R002177,district_07,flooding,22,Wed,3,0,101.2
R002178,district_24,encroachment,9,Sun,9,0,99.6
R002179,district_01,lighting,19,Tue,10,0,62.0
R002180,district_14,encroachment,5,Mon,7,0,54.7
R002181,district_05,waste,22,Mon,2,0,26.7
R002182,district_20,waste,12,Mon,7,0,86.3
R002183,district_17,waste,7,Tue,11,0,64.8
R002184,district_06,road_damage,11,Sat,5,0,67.4
R002185,district_20,waste,19,Wed,12,0,48.3
R002186,district_07,encroachment,4,Tue,8,0,84.4
R002187,district_05,encroachment,17,Fri,8,0,47.5
R002188,district_15,flooding,7,Thu,8,1,48.8
R002189,district_02,lighting,23,Mon,8,0,70.4
R002190,district_21,road_damage,14,Tue,3,0,107.1
R002191,district_01,waste,8,Wed,9,0,26.2
R002192,district_02,lighting,2,Sun,12,0,4.5
R002193,district_03,road_damage,10,Thu,8,0,28.8
R002194,district_02,lighting,20,Mon,1,0,32.9
R002195,district_06,road_damage,23,Sun,7,0,158.2
R002196,district_19,lighting,21,Fri,12,0,57.9
R002197,district_08,waste,13,Thu,3,1,86.6
R002198,district_13,flooding,18,Sat,6,1,27.4
R002199,district_15,waste,22,Sat,12,0,61.7
R002200,district_03,road_damage,0,Sat,6,0,90.8
R002201,district_21,lighting,7,Wed,5,0,30.8
R002202,district_11,flooding,0,Wed,5,0,23.7
R002203,district_07,waste,4,Mon,2,0,54.5
R002204,district_10,waste,21,Sat,9,0,4.4
R002205,district_04,road_damage,11,Sun,2,0,109.1
R002206,district_24,encroachment,23,Tue,6,0,90.3
R002207,district_24,waste,15,Tue,7,0,26.0
R002208,district_12,road_damage,5,Wed,10,0,36.4
R002209,district_21,waste,15,Wed,8,0,86.1
R002210,district_09,waste,6,Sun,2,0,79.9
R002211,district_08,road_damage,9,Sun,8,0,101.9
R002212,district_01,road_damage,18,Mon,4,1,48.6
R002213,district_22,lighting,19,Sat,5,0,33.8
R002214,district_08,road_damage,23,Thu,4,0,59.1
R002215,district_03,waste,21,Wed,5,0,103.8
R002216,district_14,lighting,4,Fri,12,0,15.1
R002217,district_14,waste,22,Sun,2,0,60.0
R002218,district_08,lighting,9,Mon,9,0,58.6
R002219,district_02,waste,6,Sat,1,0,19.6
R002220,district_02,waste,19,Wed,7,1,14.4
R002221,district_15,waste,12,Wed,7,0,42.3
R002222,district_14,encroachment,18,Fri,9,0,32.9
R002223,district_20,waste,14,Sun,6,0,80.3
R002224,district_07,waste,16,Tue,4,0,45.2
R002225,district_01,encroachment,16,Sat,10,0,21.1
R002226,district_10,lighting,20,Fri,3,0,79.7
R002227,district_21,road_damage,5,Mon,11,0,34.5
R002228,district_02,waste,3,Sat,3,0,16.5
R002229,district_24,lighting,21,Wed,10,0,76.5
R002230,district_03,road_damage,1,Thu,3,0,43.3
R002231,district_19,waste,8,Thu,12,0,20.1
R002232,district_19,waste,3,Tue,2,0,49.6
R002233,district_18,waste,12,Wed,2,0,98.3
R002234,district_15,lighting,11,Wed,3,1,60.4
R002235,district_02,waste,13,Fri,11,0,116.9
R002236,district_24,lighting,17,Wed,12,0,73.4
R002237,district_22,road_damage,2,Thu,3,1,171.8
R002238,district_22,encroachment,18,Mon,12,0,20.8
R002239,district_02,road_damage,21,Thu,12,0,37.3
R002240,district_14,road_damage,3,Sun,9,0,22.0
R002241,district_10,lighting,8,Sun,3,0,74.2
R002242,district_08,lighting,5,Fri,3,1,47.6
R002243,district_06,road_damage,13,Tue,12,0,138.5
R002244,district_19,encroachment,14,Mon,5,0,47.6
R002245,district_18,flooding,19,Sun,11,0,23.7
R002246,district_23,lighting,15,Fri,11,0,64.7
R002247,district_05,lighting,15,Fri,7,1,55.0
R002248,district_18,waste,16,Wed,12,0,26.2
R002249,district_19,road_damage,12,Sat,9,0,14.1
R002250,district_18,road_damage,16,Thu,9,0,11.6
R002251,district_04,lighting,4,Wed,10,0,91.4
R002252,district_20,lighting,10,Tue,9,0,99.5
R002253,district_08,flooding,7,Mon,2,1,18.0
R002254,district_03,lighting,12,Thu,5,0,20.5
R002255,district_15,lighting,3,Thu,11,0,39.4
R002256,district_03,waste,4,Wed,9,0,86.7
R002257,district_03,waste,15,Thu,12,0,64.5
R002258,district_01,road_damage,11,Fri,1,1,108.8
R002259,district_21,flooding,12,Thu,4,0,66.5
R002260,district_19,waste,19,Tue,8,0,11.0
R002261,district_06,flooding,16,Sat,4,0,52.3
R002262,district_22,waste,2,Sat,9,0,51.1
R002263,district_16,encroachment,5,Sat,5,0,130.9
R002264,district_18,waste,13,Sat,7,0,138.0
R002265,district_08,road_damage,6,Sat,2,0,61.3
R002266,district_22,encroachment,14,Mon,6,0,12.4
R002267,district_24,encroachment,1,Thu,6,0,66.9
R002268,district_01,lighting,9,Tue,11,1,61.5
R002269,district_08,encroachment,23,Thu,3,0,94.0
R002270,district_12,lighting,0,Sun,6,0,42.4
R002271,district_23,waste,20,Mon,3,0,23.1
R002272,district_01,lighting,16,Thu,7,0,34.7
R002273,district_05,road_damage,4,Wed,6,0,38.6
R002274,district_22,lighting,8,Wed,9,0,85.3
R002275,district_01,road_damage,16,Mon,4,0,25.9
R002276,district_10,encroachment,17,Wed,5,0,60.3
R002277,district_16,encroachment,4,Tue,10,1,125.1
R002278,district_22,waste,18,Mon,3,0,87.3
R002279,district_05,flooding,13,Sat,6,0,52.6
R002280,district_05,road_damage,18,Sun,12,0,14.8
R002281,district_21,waste,7,Wed,1,0,38.1
R002282,district_23,road_damage,21,Fri,5,0,150.7
R002283,district_22,flooding,19,Thu,12,1,50.9
R002284,district_09,lighting,17,Sun,1,0,23.2
R002285,district_18,flooding,0,Wed,10,0,58.3
R002286,district_22,road_damage,20,Fri,9,0,35.8
R002287,district_18,road_damage,15,Thu,3,1,51.3
R002288,district_24,waste,9,Sat,8,0,104.8
R002289,district_03,flooding,21,Mon,3,0,35.1
R002290,district_09,lighting,8,Tue,3,0,45.0
R002291,district_23,lighting,19,Sun,4,0,42.4
R002292,district_06,road_damage,6,Sat,9,0,143.6
R002293,district_16,road_damage,14,Mon,12,0,24.0
R002294,district_07,road_damage,12,Sun,2,1,84.1
R002295,district_19,waste,23,Wed,5,0,10.2
R002296,district_18,flooding,14,Sat,12,0,12.6
R002297,district_06,lighting,9,Tue,7,0,5.3
R002298,district_16,waste,8,Sun,4,0,14.6
R002299,district_03,lighting,4,Mon,8,0,65.1
R002300,district_16,encroachment,7,Mon,11,0,150.4
R002301,district_01,flooding,1,Wed,3,0,14.6
R002302,district_24,road_damage,5,Tue,9,0,14.5
R002303,district_02,road_damage,2,Mon,5,0,27.0
R002304,district_21,lighting,5,Fri,3,1,29.1
R002305,district_21,waste,3,Sun,4,0,48.8
R002306,district_24,encroachment,22,Tue,6,0,17.0
R002307,district_12,road_damage,3,Thu,11,0,63.9
R002308,district_18,road_damage,22,Tue,12,0,24.9
R002309,district_12,waste,4,Fri,10,0,27.2
R002310,district_20,waste,1,Wed,8,0,60.0
R002311,district_12,lighting,6,Thu,5,0,18.2
R002312,district_08,lighting,5,Thu,1,0,73.9
R002313,district_04,road_damage,21,Thu,11,0,42.3
R002314,district_12,waste,1,Sun,9,0,36.8
R002315,district_02,road_damage,18,Mon,6,1,65.7
R002316,district_11,road_damage,4,Wed,3,0,68.4
R002317,district_04,waste,22,Wed,6,1,2.7
R002318,district_20,encroachment,20,Sun,2,0,23.1
R002319,district_22,flooding,5,Sun,7,1,137.1
R002320,district_24,flooding,23,Thu,8,0,66.1
R002321,district_21,road_damage,4,Fri,1,1,36.2
R002322,district_15,waste,12,Mon,9,0,53.0
R002323,district_16,encroachment,12,Mon,9,0,93.9
R002324,district_16,waste,16,Thu,10,0,20.9
R002325,district_13,lighting,19,Sat,2,0,48.0
R002326,district_02,encroachment,19,Sat,3,0,10.2
R002327,district_06,encroachment,13,Mon,4,0,122.8
R002328,district_20,waste,9,Sat,3,1,17.2
R002329,district_17,road_damage,0,Fri,10,0,79.1
R002330,district_22,road_damage,8,Wed,5,0,95.9
R002331,district_05,flooding,14,Thu,5,0,41.3
R002332,district_20,lighting,13,Thu,7,0,98.3
R002333,district_01,lighting,18,Tue,12,0,84.3
R002334,district_19,road_damage,17,Mon,6,0,39.0
R002335,district_06,road_damage,3,Thu,2,0,68.4
R002336,district_12,lighting,18,Sun,8,0,37.0
R002337,district_13,flooding,8,Tue,2,0,15.4
R002338,district_20,lighting,4,Wed,9,1,65.4
R002339,district_02,flooding,6,Tue,12,0,48.6
R002340,district_24,encroachment,16,Thu,6,0,14.4
R002341,district_05,encroachment,14,Fri,3,0,63.0
R002342,district_24,road_damage,22,Mon,6,0,126.4
R002343,district_09,lighting,11,Mon,6,0,15.4
R002344,district_01,road_damage,22,Fri,4,0,91.3
R002345,district_18,road_damage,11,Sat,8,1,206.7
R002346,district_24,road_damage,14,Tue,3,0,35.3
R002347,district_16,lighting,13,Tue,5,0,18.0
R002348,district_09,waste,3,Mon,11,0,97.7
R002349,district_19,waste,21,Mon,3,0,55.6
R002350,district_08,waste,9,Sat,2,1,71.9
R002351,district_17,lighting,23,Fri,10,0,45.0
R002352,district_19,road_damage,19,Tue,3,0,50.7
R002353,district_08,encroachment,21,Tue,4,0,16.7
R002354,district_14,lighting,18,Fri,12,0,20.3
R002355,district_04,lighting,1,Sat,7,1,97.5
R002356,district_15,road_damage,19,Mon,2,0,82.5
R002357,district_03,waste,12,Fri,4,0,95.1
R002358,district_18,road_damage,5,Fri,2,0,24.5
R002359,district_03,waste,16,Tue,11,0,12.0
R002360,district_22,lighting,2,Sat,1,0,4.9
R002361,district_17,flooding,21,Sun,6,0,19.3
R002362,district_05,road_damage,14,Wed,9,0,76.7
R002363,district_02,lighting,13,Fri,8,0,29.7
R002364,district_06,waste,22,Thu,11,0,46.1
R002365,district_18,road_damage,17,Thu,2,0,19.8
R002366,district_15,waste,19,Sat,2,0,55.5
R002367,district_22,lighting,20,Tue,10,0,19.5
R002368,district_08,road_damage,6,Wed,4,0,111.9
R002369,district_16,lighting,2,Sun,10,0,22.3
R002370,district_01,waste,5,Sun,4,0,51.0
R002371,district_14,flooding,18,Sat,9,0,204.0
R002372,district_09,waste,3,Fri,6,0,55.0
R002373,district_16,road_damage,0,Sat,10,0,115.0
R002374,district_01,road_damage,23,Wed,12,0,125.4
R002375,district_16,encroachment,5,Sat,6,0,31.8
R002376,district_10,waste,9,Sun,1,0,24.4
R002377,district_03,road_damage,22,Wed,3,0,18.4
R002378,district_05,road_damage,9,Mon,4,0,71.9
R002379,district_16,lighting,5,Thu,2,0,16.8
R002380,district_09,flooding,1,Sun,1,1,30.2
R002381,district_02,lighting,19,Mon,9,0,42.6
R002382,district_24,road_damage,17,Tue,11,0,107.0
R002383,district_19,road_damage,7,Sat,12,0,153.8
R002384,district_14,encroachment,20,Fri,8,0,121.1
R002385,district_03,road_damage,17,Fri,3,0,126.8
R002386,district_14,waste,6,Wed,4,0,55.2
R002387,district_19,waste,8,Sun,2,0,42.9
R002388,district_19,lighting,16,Wed,2,0,13.8
R002389,district_22,road_damage,22,Sun,11,0,162.0
R002390,district_20,road_damage,12,Sun,5,0,17.2
R002391,district_10,road_damage,23,Mon,10,0,16.2
R002392,district_05,waste,2,Sun,9,0,38.9
R002393,district_05,road_damage,13,Wed,11,0,12.3
R002394,district_12,flooding,18,Sun,1,0,32.5
R002395,district_24,lighting,17,Thu,2,0,110.0
R002396,district_17,lighting,8,Sat,11,0,41.4
R002397,district_16,waste,17,Sat,11,0,44.0
R002398,district_11,flooding,17,Mon,8,0,11.7
R002399,district_07,encroachment,12,Fri,1,0,106.4
R002400,district_11,waste,13,Fri,1,0,65.0
R002401,district_20,waste,5,Wed,3,0,12.6
R002402,district_08,road_damage,5,Tue,3,0,114.4
R002403,district_09,flooding,20,Fri,1,1,14.4
R002404,district_17,waste,12,Sat,9,0,41.6
R002405,district_02,road_damage,10,Thu,3,0,33.7
R002406,district_18,waste,20,Tue,6,0,57.1
R002407,district_16,lighting,13,Fri,9,0,70.6
R002408,district_03,waste,15,Fri,2,0,96.8
R002409,district_19,flooding,4,Thu,10,0,14.2
R002410,district_07,flooding,16,Sun,11,0,27.0
R002411,district_21,lighting,17,Sat,8,0,71.8
R002412,district_24,road_damage,7,Wed,4,0,44.2
R002413,district_08,flooding,5,Tue,7,0,23.6
R002414,district_16,flooding,14,Sun,6,0,39.1
R002415,district_05,waste,11,Mon,5,0,85.7
R002416,district_17,road_damage,18,Tue,4,0,74.3
R002417,district_23,road_damage,0,Thu,11,0,39.9
R002418,district_04,flooding,3,Mon,8,0,72.3
R002419,district_01,waste,12,Fri,10,0,125.2
R002420,district_16,waste,12,Fri,7,0,5.7
R002421,district_05,waste,4,Fri,6,0,34.0
R002422,district_04,road_damage,16,Thu,3,1,49.9
R002423,district_07,road_damage,14,Mon,3,0,55.5
R002424,district_10,waste,18,Thu,10,0,103.1
R002425,district_21,flooding,22,Tue,1,0,28.8
R002426,district_02,encroachment,17,Wed,4,0,8.7
R002427,district_15,road_damage,14,Sat,2,0,37.6
R002428,district_12,waste,4,Wed,8,0,40.8
R002429,district_10,flooding,18,Sat,5,0,46.7
R002430,district_16,waste,17,Wed,7,0,71.9
R002431,district_01,encroachment,13,Sat,9,0,8.9
R002432,district_24,waste,5,Fri,2,0,33.1
R002433,district_01,encroachment,1,Fri,8,0,86.4
R002434,district_16,waste,23,Fri,7,0,32.1
R002435,district_11,flooding,0,Sun,2,0,17.2
R002436,district_22,flooding,6,Thu,6,0,56.5
R002437,district_07,waste,6,Mon,6,0,15.5
R002438,district_08,lighting,15,Sat,2,0,60.0
R002439,district_02,road_damage,13,Fri,2,0,37.7
R002440,district_02,road_damage,23,Fri,8,0,22.2
R002441,district_07,lighting,22,Thu,7,1,31.1
R002442,district_19,waste,7,Sat,12,1,18.4
R002443,district_19,road_damage,10,Sat,6,0,136.6
R002444,district_17,waste,2,Sun,1,0,38.1
R002445,district_10,lighting,7,Wed,3,0,159.7
R002446,district_22,waste,9,Sun,12,0,52.8
R002447,district_04,waste,20,Wed,9,0,41.4
R002448,district_02,lighting,18,Mon,9,0,52.1
R002449,district_02,waste,16,Fri,5,0,124.7
R002450,district_16,encroachment,2,Fri,3,0,53.6
R002451,district_16,flooding,5,Thu,5,0,24.5
R002452,district_15,road_damage,2,Wed,2,0,71.8
R002453,district_21,waste,14,Sat,4,0,37.6
R002454,district_04,flooding,6,Fri,3,0,32.0
R002455,district_18,flooding,3,Wed,9,0,113.3
R002456,district_15,lighting,16,Fri,12,0,43.0
R002457,district_03,flooding,21,Sat,2,0,35.1
R002458,district_09,waste,4,Fri,5,0,54.5
R002459,district_04,road_damage,13,Tue,5,0,68.0
R002460,district_09,lighting,0,Sun,12,0,47.5
R002461,district_06,encroachment,23,Thu,6,0,141.7
R002462,district_09,road_damage,4,Sat,9,0,47.7
R002463,district_15,lighting,11,Mon,7,0,33.6
R002464,district_06,lighting,1,Sat,2,0,50.1
R002465,district_01,road_damage,12,Sun,2,1,13.8
R002466,district_03,road_damage,15,Sun,12,1,56.3
R002467,district_05,waste,6,Fri,7,0,196.3
R002468,district_15,encroachment,15,Fri,5,0,44.5
R002469,district_17,waste,2,Fri,7,0,60.5
R002470,district_08,waste,13,Thu,4,0,36.6
R002471,district_02,waste,6,Wed,7,0,66.0
R002472,district_21,flooding,19,Mon,7,0,47.9
R002473,district_04,road_damage,9,Thu,7,0,37.9
R002474,district_24,road_damage,4,Mon,12,0,63.6
R002475,district_11,flooding,3,Sun,7,0,37.5
R002476,district_22,waste,19,Tue,1,0,31.1
R002477,district_22,waste,19,Thu,7,1,25.5
R002478,district_16,encroachment,4,Sat,1,0,45.7
R002479,district_16,waste,20,Fri,7,0,3.6
R002480,district_04,lighting,10,Thu,7,0,49.3
R002481,district_22,road_damage,10,Thu,10,1,104.8
R002482,district_24,flooding,15,Wed,10,0,15.9
R002483,district_11,waste,9,Fri,4,1,47.8
R002484,district_17,flooding,5,Wed,11,0,34.2
R002485,district_05,flooding,16,Fri,11,0,8.8
R002486,district_19,road_damage,14,Fri,8,1,37.9
R002487,district_10,road_damage,9,Fri,4,0,53.7
R002488,district_23,lighting,6,Wed,10,0,32.0
R002489,district_20,road_damage,0,Mon,7,0,20.1
R002490,district_02,road_damage,12,Tue,3,0,57.2
R002491,district_22,encroachment,23,Sat,3,0,32.7
R002492,district_04,lighting,23,Mon,10,0,103.2
R002493,district_18,waste,20,Thu,11,1,35.9
R002494,district_04,road_damage,11,Mon,12,0,61.5
R002495,district_20,waste,19,Fri,10,0,18.3
R002496,district_22,road_damage,3,Fri,9,0,39.6
R002497,district_14,road_damage,17,Tue,10,0,20.0
R002498,district_12,encroachment,5,Fri,3,0,237.6
R002499,district_21,road_damage,8,Fri,11,0,80.3
R002500,district_13,waste,14,Sun,9,0,111.4
R002501,district_09,lighting,23,Sat,8,1,84.5
R002502,district_05,lighting,1,Wed,3,0,25.2
R002503,district_07,waste,22,Mon,7,0,12.2
R002504,district_03,lighting,12,Wed,11,0,159.9
R002505,district_10,lighting,16,Mon,3,0,46.0
R002506,district_14,flooding,4,Mon,4,0,39.5
R002507,district_05,road_damage,1,Sun,8,0,93.0
R002508,district_20,waste,13,Thu,6,0,51.1
R002509,district_22,encroachment,20,Sun,6,0,6.9
R002510,district_14,encroachment,13,Thu,7,0,27.1
R002511,district_05,flooding,5,Wed,6,0,14.4
R002512,district_20,road_damage,10,Tue,6,0,65.5
R002513,district_10,waste,20,Tue,11,0,23.3
R002514,district_09,encroachment,12,Wed,4,0,88.0
R002515,district_21,flooding,5,Sun,7,0,21.2
R002516,district_07,waste,8,Thu,12,0,26.4
R002517,district_16,waste,3,Thu,12,0,68.0
R002518,district_12,road_damage,18,Thu,10,0,70.9
R002519,district_16,lighting,8,Mon,12,0,33.0
R002520,district_13,encroachment,8,Tue,2,0,33.4
R002521,district_05,waste,15,Tue,4,0,88.8
R002522,district_18,waste,17,Mon,2,0,71.4
R002523,district_07,waste,18,Fri,5,0,28.4
R002524,district_21,lighting,22,Sat,9,0,142.2
R002525,district_24,waste,16,Sun,6,0,76.1
R002526,district_19,road_damage,5,Thu,8,0,11.2
R002527,district_21,road_damage,5,Fri,11,0,93.7
R002528,district_17,waste,8,Sat,10,1,30.1
R002529,district_17,encroachment,1,Fri,4,1,68.6
R002530,district_06,flooding,17,Thu,12,0,79.7
R002531,district_14,waste,10,Sat,9,0,67.2
R002532,district_18,road_damage,5,Sat,7,0,57.6
R002533,district_22,waste,6,Mon,12,0,94.4
R002534,district_14,lighting,23,Tue,2,0,39.7
R002535,district_11,lighting,8,Fri,2,0,38.3
R002536,district_16,waste,6,Fri,1,0,7.0
R002537,district_10,road_damage,16,Thu,1,0,53.1
R002538,district_18,lighting,12,Wed,6,0,41.6
R002539,district_09,lighting,6,Mon,4,0,131.8
R002540,district_14,waste,15,Wed,10,0,54.0
R002541,district_07,road_damage,10,Sat,8,0,25.5
R002542,district_08,waste,6,Tue,7,0,44.8
R002543,district_15,waste,11,Fri,12,0,52.0
R002544,district_21,lighting,1,Sun,6,0,56.1
R002545,district_01,waste,13,Wed,7,0,144.8
R002546,district_10,road_damage,4,Wed,3,0,5.2
R002547,district_17,road_damage,14,Thu,2,0,18.4
R002548,district_05,waste,2,Mon,10,0,6.8
R002549,district_01,lighting,6,Sat,10,0,67.2
R002550,district_09,waste,11,Mon,5,0,50.1
R002551,district_01,flooding,9,Wed,7,0,32.2
R002552,district_08,road_damage,9,Tue,8,0,11.5
R002553,district_05,waste,16,Thu,3,0,13.9
R002554,district_05,waste,6,Mon,10,0,12.3
R002555,district_20,waste,2,Thu,12,0,46.2
R002556,district_04,waste,8,Sat,9,0,51.3
R002557,district_21,encroachment,6,Thu,5,0,76.2
R002558,district_20,waste,2,Tue,2,0,49.4
R002559,district_23,waste,12,Tue,1,0,45.1
R002560,district_05,lighting,6,Thu,10,0,60.0
R002561,district_10,road_damage,15,Sat,6,1,26.2
R002562,district_10,waste,5,Mon,2,0,19.0
R002563,district_19,flooding,5,Thu,2,0,65.9
R002564,district_05,lighting,23,Mon,10,0,63.1
R002565,district_23,waste,13,Wed,2,0,53.1
R002566,district_21,encroachment,22,Wed,11,0,111.3
R002567,district_16,lighting,16,Sun,1,0,49.9
R002568,district_11,road_damage,1,Mon,2,0,22.3
R002569,district_01,flooding,6,Sun,10,0,40.3
R002570,district_18,road_damage,17,Tue,1,0,312.6
R002571,district_11,waste,22,Tue,8,0,14.8
R002572,district_18,waste,16,Sun,8,0,50.6
R002573,district_18,lighting,15,Tue,4,0,51.0
R002574,district_12,lighting,11,Mon,6,1,36.5
R002575,district_06,lighting,2,Tue,10,0,9.0
R002576,district_17,flooding,4,Tue,9,0,34.3
R002577,district_12,encroachment,12,Wed,3,0,98.7
R002578,district_24,lighting,9,Mon,1,0,28.6
R002579,district_02,flooding,9,Thu,5,0,33.3
R002580,district_24,lighting,15,Wed,2,0,12.0
R002581,district_17,encroachment,20,Sun,3,0,89.7
R002582,district_14,road_damage,20,Wed,7,0,85.1
R002583,district_04,flooding,2,Wed,8,0,13.2
R002584,district_17,lighting,16,Sat,7,0,51.9
R002585,district_12,road_damage,7,Wed,8,0,24.2
R002586,district_13,waste,18,Wed,4,0,21.9
R002587,district_12,lighting,13,Sun,8,0,52.7
R002588,district_01,waste,21,Sun,1,0,52.9
R002589,district_19,waste,7,Tue,12,0,43.4
R002590,district_01,road_damage,12,Wed,5,0,101.1
R002591,district_10,waste,20,Mon,11,0,120.9
R002592,district_06,waste,10,Sun,9,0,129.9
R002593,district_01,lighting,19,Wed,9,0,59.2
R002594,district_24,road_damage,2,Sat,9,0,93.4
R002595,district_19,encroachment,17,Thu,1,0,47.1
R002596,district_02,encroachment,0,Mon,11,0,8.0
R002597,district_02,waste,5,Thu,9,0,66.9
R002598,district_23,waste,15,Sat,10,0,22.6
